,feature,metadata,value,coef,stderr,pval,name,qval,N,N.not.zero,var,conf.low,conf.high,label
1,Veillonella_62,population,GF,2.140887531,0.839967496,0.01162667,populationGF,0.069760022,193,92,population,0.494551238,3.787223824,**
9,Veillonella_6,population,GF,1.474161991,0.461290726,0.001641595,populationGF,0.020064651,193,193,population,0.570032168,2.378291815,***
16,Veillonella_43,population,GF,0.934401493,0.63794272,0.144706401,populationGF,0.336663871,193,157,population,-0.315966239,2.184769225,NA
34,Veillonella_34,population,GF,-0.160921246,0.692420284,0.816482533,populationGF,0.861842674,193,158,population,-1.518065002,1.196222509,NA
20,Streptococcus_8,population,GF,0.823488809,0.371172668,0.027735925,populationGF,0.109030878,193,193,population,0.09599038,1.550987239,*
3,Streptococcus_4,population,GF,1.943520338,0.479775878,7.52E-05,populationGF,0.003124751,193,191,population,1.003159617,2.883881058,***
31,Streptococcus_36,population,GF,0.557890088,0.58790796,0.343895199,populationGF,0.522720702,193,176,population,-0.594409513,1.71018969,NA
10,Streptococcus_10,population,GF,1.245590541,0.446169178,0.005796024,populationGF,0.048944205,193,192,population,0.371098953,2.12008213,***
38,Stomatobaculum_79,population,GF,-1.805101392,0.661728574,0.006992288,populationGF,0.049820052,193,123,population,-3.102089398,-0.508113386,***
12,Selenomonas_60,population,GF,1.175037395,0.574092051,0.042102219,populationGF,0.143273224,193,169,population,0.049816975,2.300257815,*
15,Rothia_mucilaginosa_70,population,GF,0.997359094,0.849255116,0.241755415,populationGF,0.440961877,193,84,population,-0.667180934,2.661899122,NA
23,Rothia_mucilaginosa_49,population,GF,0.746308459,0.658207322,0.258332524,populationGF,0.450954065,193,81,population,-0.543777893,2.036394811,NA
13,Rothia_mucilaginosa_37,population,GF,1.172358527,0.828232215,0.158613775,populationGF,0.358058818,193,128,population,-0.450976614,2.795693668,NA
22,Rothia_mucilaginosa_32,population,GF,0.769944942,0.898727155,0.392721758,populationGF,0.563148182,193,116,population,-0.991560281,2.531450165,NA
7,Prevotella_salivae_29,population,GF,1.488170234,0.557965032,0.008332018,populationGF,0.055498944,193,181,population,0.394558771,2.581781698,**
35,Prevotella_pallens_51,population,GF,-0.20670726,0.79621788,0.795453766,populationGF,0.8444826,193,129,population,-1.767294305,1.353879785,NA
21,Prevotella_melaninogenica_11,population,GF,0.776402159,0.611532958,0.205830584,populationGF,0.404664762,193,183,population,-0.422202439,1.975006757,NA
2,Prevotella_histicola_12,population,GF,2.025037205,0.733208541,0.006329864,populationGF,0.049820052,193,175,population,0.587948464,3.462125945,***
8,Prevotella_63,population,GF,1.479583206,0.769860573,0.056165298,populationGF,0.173049838,193,120,population,-0.029343516,2.988509928,*
6,Prevotella_21,population,GF,1.525060319,0.704423129,0.031677045,populationGF,0.114640735,193,150,population,0.144390986,2.905729651,*
4,Prevotella_16,population,GF,1.800176299,0.679515019,0.008769746,populationGF,0.055541725,193,171,population,0.468326862,3.132025735,**
25,Porphyromonas_pasteri_35,population,GF,0.681426235,0.640232613,0.288568703,populationGF,0.487360477,193,145,population,-0.573429686,1.936282157,NA
32,Oribacterium_sinus_71,population,GF,0.37092583,0.504454381,0.46309237,populationGF,0.61914396,193,171,population,-0.617804756,1.359656416,NA
11,Neisseria_13,population,GF,1.22722406,0.815654078,0.134144396,populationGF,0.318659087,193,151,population,-0.371457933,2.825906053,NA
27,Megasphaera_micronuciformis_45,population,GF,0.623615972,0.684641546,0.363558274,populationGF,0.534782493,193,170,population,-0.718281459,1.965513402,NA
19,Leptotrichia_17,population,GF,0.823746836,0.617105018,0.183572515,populationGF,0.380495758,193,177,population,-0.385778999,2.03327267,NA
24,Lachnospiraceae_65,population,GF,0.728541421,0.658750039,0.270194155,populationGF,0.46318998,193,123,population,-0.562608656,2.019691498,NA
18,Lachnoanaerobaculum_54,population,GF,0.848428932,0.638603199,0.185635295,populationGF,0.381304931,193,171,population,-0.403233338,2.100091201,NA
26,Haemophilus_14,population,GF,0.660160014,0.547101318,0.229115881,populationGF,0.428183777,193,185,population,-0.41215857,1.732478598,NA
33,Granulicatella_48,population,GF,0.3499128,0.474695632,0.461981671,populationGF,0.61914396,193,188,population,-0.580490638,1.280316239,NA
30,Gemella_27,population,GF,0.577266735,0.448279438,0.199454216,populationGF,0.401956583,193,188,population,-0.301360963,1.455894433,NA
36,Fusobacterium_periodonticum_18,population,GF,-1.095122112,0.78204767,0.16309955,populationGF,0.364575466,193,150,population,-2.627935546,0.437691322,NA
17,Fusobacterium_nucleatum_72,population,GF,0.878273265,0.789037478,0.267119888,populationGF,0.461388897,193,85,population,-0.668240191,2.424786722,NA
14,Campylobacter_concisus_50,population,GF,1.083671381,0.497483819,0.030655082,populationGF,0.113329323,193,187,population,0.108603095,2.058739667,*
28,Alloprevotella_61,population,GF,0.603768241,0.813108141,0.458704944,populationGF,0.61914396,193,156,population,-0.989923715,2.197460196,NA
29,Actinomyces_odontolyticus_15,population,GF,0.597395552,0.465491628,0.200978291,populationGF,0.401956583,193,192,population,-0.314968038,1.509759142,NA
5,Actinomyces_graevenitzii_22,population,GF,1.579344219,0.669231109,0.01932533,populationGF,0.089921942,193,179,population,0.267651246,2.891037193,**
37,Actinomyces_19,population,GF,-1.464823626,0.714815801,0.041858824,populationGF,0.143273224,193,164,population,-2.865862597,-0.063784656,*
